
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(1.0057, grad_fn=<NllLossBackward0>)
tensor(1.5249, grad_fn=<NllLossBackward0>)
tensor(0.5755, grad_fn=<NllLossBackward0>)
tensor(1.6808, grad_fn=<NllLossBackward0>)
tensor(1.8070, grad_fn=<NllLossBackward0>)
tensor(0.1512, grad_fn=<NllLossBackward0>)
tensor(0.4866, grad_fn=<NllLossBackward0>)
tensor(0.2379, grad_fn=<NllLossBackward0>)
tensor(0.0605, grad_fn=<NllLossBackward0>)
tensor(0.0028, grad_fn=<NllLossBackward0>)
tensor(0.0001, grad_fn=<NllLossBackward0>)
tensor(2.4080e-05, grad_fn=<NllLossBackward0>)
tensor(18.9163, grad_fn=<NllLossBackward0>)
tensor(1.8247, grad_fn=<NllLossBackward0>)
tensor(0.2814, grad_fn=<NllLossBackward0>)
tensor(0.9161, grad_fn=<NllLossBackward0>)
tensor(0.8538, grad_fn=<NllLossBackward0>)
tensor(0.5676, grad_fn=<NllLossBackward0>)
tensor(0.1894, grad_fn=<NllLossBackward0>)
tensor(0.0999, grad_fn=<NllLossBackward0>)
tensor(6.4837, grad_fn=<NllLossBackward0>)
tensor(1.0847, grad_fn=<NllLossBackward0>)
tensor(1.6884, grad_fn=<NllLossBackward0>)
tensor(0.1627, grad_fn=<NllLossBackward0>)
tensor(0.6580, grad_fn=<NllLossBackward0>)
tensor(0.4077, grad_fn=<NllLossBackward0>)
tensor(1.9822, grad_fn=<NllLossBackward0>)
tensor(0.0005, grad_fn=<NllLossBackward0>)
tensor(0.0518, grad_fn=<NllLossBackward0>)
tensor(0.0533, grad_fn=<NllLossBackward0>)
tensor(0., grad_fn=<NllLossBackward0>)
tensor(0., grad_fn=<NllLossBackward0>)
tensor(0., grad_fn=<NllLossBackward0>)
tensor(25.5729, grad_fn=<NllLossBackward0>)
tensor(7.8104, grad_fn=<NllLossBackward0>)
tensor(1.4173, grad_fn=<NllLossBackward0>)
tensor(0.9025, grad_fn=<NllLossBackward0>)
tensor(2.9762, grad_fn=<NllLossBackward0>)
tensor(1.0995, grad_fn=<NllLossBackward0>)
tensor(0.9811, grad_fn=<NllLossBackward0>)
tensor(1.1067, grad_fn=<NllLossBackward0>)
tensor(1.0556, grad_fn=<NllLossBackward0>)
tensor(1.0357, grad_fn=<NllLossBackward0>)
tensor(0.9962, grad_fn=<NllLossBackward0>)
tensor(0.9977, grad_fn=<NllLossBackward0>)
tensor(1.1137, grad_fn=<NllLossBackward0>)
tensor(1.0054, grad_fn=<NllLossBackward0>)
tensor(1.1158, grad_fn=<NllLossBackward0>)
tensor(0.7700, grad_fn=<NllLossBackward0>)
tensor(0.7479, grad_fn=<NllLossBackward0>)
tensor(0.5018, grad_fn=<NllLossBackward0>)
tensor(0.0440, grad_fn=<NllLossBackward0>)
tensor(0.0054, grad_fn=<NllLossBackward0>)
tensor(0.0012, grad_fn=<NllLossBackward0>)
tensor(8.3446e-07, grad_fn=<NllLossBackward0>)
tensor(0., grad_fn=<NllLossBackward0>)
tensor(0., grad_fn=<NllLossBackward0>)
tensor(62.4436, grad_fn=<NllLossBackward0>)
tensor(1.0399, grad_fn=<NllLossBackward0>)
tensor(3.5092, grad_fn=<NllLossBackward0>)
tensor(1.9502, grad_fn=<NllLossBackward0>)
tensor(3.3641, grad_fn=<NllLossBackward0>)
tensor(5.4390, grad_fn=<NllLossBackward0>)
tensor(1.8255, grad_fn=<NllLossBackward0>)
tensor(1.5920, grad_fn=<NllLossBackward0>)
tensor(1.3127, grad_fn=<NllLossBackward0>)
tensor(1.0960, grad_fn=<NllLossBackward0>)
tensor(1.1099, grad_fn=<NllLossBackward0>)
tensor(1.1272, grad_fn=<NllLossBackward0>)
tensor(1.0402, grad_fn=<NllLossBackward0>)
tensor(1.2288, grad_fn=<NllLossBackward0>)
tensor(1.0043, grad_fn=<NllLossBackward0>)
tensor(0.9568, grad_fn=<NllLossBackward0>)
tensor(0.9609, grad_fn=<NllLossBackward0>)
tensor(0.9056, grad_fn=<NllLossBackward0>)
tensor(1.2243, grad_fn=<NllLossBackward0>)
tensor(0.9430, grad_fn=<NllLossBackward0>)
tensor(0.9916, grad_fn=<NllLossBackward0>)
tensor(0.9559, grad_fn=<NllLossBackward0>)
tensor(0.8824, grad_fn=<NllLossBackward0>)
tensor(0.8680, grad_fn=<NllLossBackward0>)
tensor(0.8646, grad_fn=<NllLossBackward0>)
tensor(0.8988, grad_fn=<NllLossBackward0>)
tensor(0.8493, grad_fn=<NllLossBackward0>)
tensor(0.8490, grad_fn=<NllLossBackward0>)
tensor(0.8386, grad_fn=<NllLossBackward0>)
tensor(0.7761, grad_fn=<NllLossBackward0>)
tensor(1.2643, grad_fn=<NllLossBackward0>)
tensor(0.7394, grad_fn=<NllLossBackward0>)
tensor(0.6836, grad_fn=<NllLossBackward0>)
tensor(1.2804, grad_fn=<NllLossBackward0>)
tensor(1.5688, grad_fn=<NllLossBackward0>)
tensor(0.4754, grad_fn=<NllLossBackward0>)
tensor(0.6129, grad_fn=<NllLossBackward0>)
tensor(0.5129, grad_fn=<NllLossBackward0>)
tensor(0.4786, grad_fn=<NllLossBackward0>)
tensor(1.6332, grad_fn=<NllLossBackward0>)
tensor(0.2690, grad_fn=<NllLossBackward0>)
tensor(0.0933, grad_fn=<NllLossBackward0>)
tensor(0.0734, grad_fn=<NllLossBackward0>)
tensor(0.0956, grad_fn=<NllLossBackward0>)
tensor(7.5729, grad_fn=<NllLossBackward0>)
tensor(2.6703, grad_fn=<NllLossBackward0>)
tensor(0.6048, grad_fn=<NllLossBackward0>)
tensor(1.2906, grad_fn=<NllLossBackward0>)
tensor(0.6955, grad_fn=<NllLossBackward0>)
tensor(0.5875, grad_fn=<NllLossBackward0>)
tensor(0.5601, grad_fn=<NllLossBackward0>)
tensor(0.5549, grad_fn=<NllLossBackward0>)
tensor(2.0232, grad_fn=<NllLossBackward0>)
tensor(0.5746, grad_fn=<NllLossBackward0>)
tensor(0.6092, grad_fn=<NllLossBackward0>)
tensor(0.4210, grad_fn=<NllLossBackward0>)
tensor(0.1055, grad_fn=<NllLossBackward0>)
tensor(0.1347, grad_fn=<NllLossBackward0>)
tensor(0.0002, grad_fn=<NllLossBackward0>)
tensor(0.0140, grad_fn=<NllLossBackward0>)
tensor(2.7173, grad_fn=<NllLossBackward0>)
tensor(0.1111, grad_fn=<NllLossBackward0>)
tensor(0.0173, grad_fn=<NllLossBackward0>)
tensor(9.5725, grad_fn=<NllLossBackward0>)
tensor(0.6131, grad_fn=<NllLossBackward0>)
tensor(0.8179, grad_fn=<NllLossBackward0>)
tensor(0.8393, grad_fn=<NllLossBackward0>)
tensor(0.9064, grad_fn=<NllLossBackward0>)
tensor(0.8867, grad_fn=<NllLossBackward0>)
tensor(0.8454, grad_fn=<NllLossBackward0>)
tensor(0.9286, grad_fn=<NllLossBackward0>)
tensor(0.8233, grad_fn=<NllLossBackward0>)
tensor(0.7864, grad_fn=<NllLossBackward0>)
tensor(0.7568, grad_fn=<NllLossBackward0>)
tensor(1.8894, grad_fn=<NllLossBackward0>)
tensor(0.6363, grad_fn=<NllLossBackward0>)
tensor(1.7117, grad_fn=<NllLossBackward0>)
tensor(0.5521, grad_fn=<NllLossBackward0>)
tensor(0.5980, grad_fn=<NllLossBackward0>)
tensor(0.5417, grad_fn=<NllLossBackward0>)
tensor(0.4981, grad_fn=<NllLossBackward0>)
tensor(0.4223, grad_fn=<NllLossBackward0>)
tensor(0.4139, grad_fn=<NllLossBackward0>)
tensor(0.2653, grad_fn=<NllLossBackward0>)
tensor(0.2829, grad_fn=<NllLossBackward0>)
tensor(0.0436, grad_fn=<NllLossBackward0>)
tensor(0.0960, grad_fn=<NllLossBackward0>)
tensor(0.0340, grad_fn=<NllLossBackward0>)
tensor(0.0142, grad_fn=<NllLossBackward0>)
tensor(0.1386, grad_fn=<NllLossBackward0>)
tensor(0.0120, grad_fn=<NllLossBackward0>)
tensor(0.0009, grad_fn=<NllLossBackward0>)
tensor(0.0004, grad_fn=<NllLossBackward0>)
tensor(0.0028, grad_fn=<NllLossBackward0>)
tensor(0.0014, grad_fn=<NllLossBackward0>)
tensor(5.1244, grad_fn=<NllLossBackward0>)
tensor(0.0343, grad_fn=<NllLossBackward0>)
tensor(0.0027, grad_fn=<NllLossBackward0>)
tensor(0.0208, grad_fn=<NllLossBackward0>)
tensor(8.2169, grad_fn=<NllLossBackward0>)
tensor(0.1409, grad_fn=<NllLossBackward0>)
tensor(0.3348, grad_fn=<NllLossBackward0>)
tensor(2.5867, grad_fn=<NllLossBackward0>)
tensor(0.9143, grad_fn=<NllLossBackward0>)
tensor(0.6711, grad_fn=<NllLossBackward0>)
tensor(0.6469, grad_fn=<NllLossBackward0>)
tensor(0.7692, grad_fn=<NllLossBackward0>)
tensor(0.7425, grad_fn=<NllLossBackward0>)
tensor(1.6787, grad_fn=<NllLossBackward0>)
tensor(0.6319, grad_fn=<NllLossBackward0>)
tensor(0.6682, grad_fn=<NllLossBackward0>)
tensor(0.5601, grad_fn=<NllLossBackward0>)
tensor(0.6345, grad_fn=<NllLossBackward0>)
tensor(0.4874, grad_fn=<NllLossBackward0>)
tensor(0.6235, grad_fn=<NllLossBackward0>)
tensor(0.5143, grad_fn=<NllLossBackward0>)
tensor(0.4400, grad_fn=<NllLossBackward0>)
tensor(0.3180, grad_fn=<NllLossBackward0>)
tensor(0.3436, grad_fn=<NllLossBackward0>)
tensor(0.4013, grad_fn=<NllLossBackward0>)
tensor(0.1267, grad_fn=<NllLossBackward0>)
tensor(0.1279, grad_fn=<NllLossBackward0>)
tensor(0.1623, grad_fn=<NllLossBackward0>)
tensor(0.1685, grad_fn=<NllLossBackward0>)
tensor(0.0224, grad_fn=<NllLossBackward0>)
tensor(0.0183, grad_fn=<NllLossBackward0>)
tensor(0.0065, grad_fn=<NllLossBackward0>)
tensor(0.0215, grad_fn=<NllLossBackward0>)
tensor(0.0371, grad_fn=<NllLossBackward0>)
tensor(5.0972, grad_fn=<NllLossBackward0>)
tensor(0.0082, grad_fn=<NllLossBackward0>)
tensor(3.9805, grad_fn=<NllLossBackward0>)
tensor(0.0336, grad_fn=<NllLossBackward0>)
tensor(0.2643, grad_fn=<NllLossBackward0>)
